index,model,train_rmse,test_rmse
37,HistGradientBoostingRegressor,1.935467470091266,2.046059185403393
38,HistGradientBoostingRegressor,1.9315184878585185,2.047800640477126
39,HistGradientBoostingRegressor,1.9309343715560172,2.0483763370801777
40,HistGradientBoostingRegressor,1.9309974693459402,2.046451484936991
41,HistGradientBoostingRegressor,1.9302055822601911,2.0492229410792477
42,HistGradientBoostingRegressor,1.9304935330086823,2.050070646712565
43,HistGradientBoostingRegressor,1.9299200228620523,2.0486703446131367
44,HistGradientBoostingRegressor,1.9295684953149042,2.050126959970499
45,HistGradientBoostingRegressor,1.9298285680702396,2.0495894527469356
46,HistGradientBoostingRegressor,1.9290077587669736,2.0498584169319622
47,HistGradientBoostingRegressor,1.9284511395625572,2.0490905577698486
48,HistGradientBoostingRegressor,1.9281877628875634,2.049685855916566
49,HistGradientBoostingRegressor,1.9284854494936337,2.0504559984378075
50,HistGradientBoostingRegressor,1.9282751154852587,2.0498852919659494
51,HistGradientBoostingRegressor,1.92790561601142,2.0499537281805895
52,HistGradientBoostingRegressor,1.9285348897244579,2.0492487630657314
53,HistGradientBoostingRegressor,1.9280055062573287,2.0506676643972606
54,HistGradientBoostingRegressor,1.9275616650590979,2.0509342232444356
55,HistGradientBoostingRegressor,1.9271261620560556,2.0509230935891587
56,HistGradientBoostingRegressor,1.926748395960621,2.0507871098657975
57,HistGradientBoostingRegressor,1.926889488386172,2.0488930507395073
58,HistGradientBoostingRegressor,1.927208710982103,2.0503279123343896
59,HistGradientBoostingRegressor,1.926817645752228,2.0498446716544754
60,HistGradientBoostingRegressor,1.9263571955373344,2.050467238019734
61,HistGradientBoostingRegressor,1.925611145868956,2.0502089390586242
62,HistGradientBoostingRegressor,1.9251677646876744,2.0512607136514602
63,HistGradientBoostingRegressor,1.9254640363014375,2.0497765772211047
64,HistGradientBoostingRegressor,1.9252026114034746,2.0501254865306846
65,HistGradientBoostingRegressor,1.9250727937388774,2.0497998935398902
66,HistGradientBoostingRegressor,1.9249620849113782,2.049953222868503
67,HistGradientBoostingRegressor,1.9249587877414758,2.0516298169138105
68,HistGradientBoostingRegressor,1.9246913229292868,2.0525089453570504
69,HistGradientBoostingRegressor,1.9247953355810818,2.050659097887945
70,HistGradientBoostingRegressor,1.9242884066836878,2.05301457900026
71,HistGradientBoostingRegressor,1.9239734353201932,2.053543782758292
72,HistGradientBoostingRegressor,1.9235259716330813,2.051754768160115
73,HistGradientBoostingRegressor,1.9239078286901201,2.051859684722685
74,HistGradientBoostingRegressor,1.9233732748282528,2.0512968521480297
75,HistGradientBoostingRegressor,1.923411189565707,2.0515655107690627
76,HistGradientBoostingRegressor,1.9229863527455997,2.053129475592795
