,Model,delta,RMSE
31,PassiveAggressiveRegressor,-2:40,3.329206392376201
32,Lars,-2:40,4.557459760079447
33,RANSACRegressor,-2:40,15.83300308271692
0,ExtraTreesRegressor,-2:45,1.7464972765143378
1,BaggingRegressor,-2:45,1.846664753511407
2,XGBRegressor,-2:45,1.8639878452301544
3,LGBMRegressor,-2:45,1.9151274272659282
4,HistGradientBoostingRegressor,-2:45,1.916090741459656
5,GradientBoostingRegressor,-2:45,2.010384275205732
6,MLPRegressor,-2:45,2.0218143920361578
7,LassoLarsCV,-2:45,2.0688340227841118
8,LassoLarsIC,-2:45,2.0688438561678577
9,BayesianRidge,-2:45,2.0692414281885636
10,Ridge,-2:45,2.0693163288977927
11,RidgeCV,-2:45,2.06931632890666
12,TransformedTargetRegressor,-2:45,2.0693272149679873
13,LassoCV,-2:45,2.0693468228571628
14,ElasticNetCV,-2:45,2.0741827068167944
15,OrthogonalMatchingPursuitCV,-2:45,2.079966670541525
16,OrthogonalMatchingPursuit,-2:45,2.079966670541525
17,HuberRegressor,-2:45,2.0831819778855802
18,SGDRegressor,-2:45,2.0835241713292243
19,LinearSVR,-2:45,2.095257274386448
20,KNeighborsRegressor,-2:45,2.1105461684642286
21,PoissonRegressor,-2:45,2.129826867553891
22,LarsCV,-2:45,2.141921978044632
23,GammaRegressor,-2:45,2.260993778480407
24,TweedieRegressor,-2:45,2.270825465627859
25,ElasticNet,-2:45,2.314722184066726
26,LassoLars,-2:45,2.3681263099645355
27,DecisionTreeRegressor,-2:45,2.557919784021203
28,ExtraTreeRegressor,-2:45,2.6519259572684803
29,AdaBoostRegressor,-2:45,2.6570431224971847
30,DummyRegressor,-2:45,2.9966380864076663
31,PassiveAggressiveRegressor,-2:45,3.354985854841842
32,Lars,-2:45,4.591995256400022
33,RANSACRegressor,-2:45,16.667926951461716
0,ExtraTreesRegressor,-2:50,1.7445796700338239
1,BaggingRegressor,-2:50,1.842412803072131
2,XGBRegressor,-2:50,1.867230055997361
3,LGBMRegressor,-2:50,1.9145107823611298
4,HistGradientBoostingRegressor,-2:50,1.9176748812067064
5,MLPRegressor,-2:50,1.99972527178224
6,GradientBoostingRegressor,-2:50,2.0117834797955325
7,LassoLarsCV,-2:50,2.068461271970692
8,LassoLarsIC,-2:50,2.068495241686788
9,BayesianRidge,-2:50,2.068916380073161
10,LassoCV,-2:50,2.0689762094659816
11,RidgeCV,-2:50,2.068989866006591
12,Ridge,-2:50,2.0689898660135038
13,TransformedTargetRegressor,-2:50,2.0690004317372663
14,ElasticNetCV,-2:50,2.073810361781698
15,OrthogonalMatchingPursuit,-2:50,2.0795227443047986
16,OrthogonalMatchingPursuitCV,-2:50,2.0795227443047986
17,SGDRegressor,-2:50,2.083112842075503
18,HuberRegressor,-2:50,2.0836913641880943
19,LinearSVR,-2:50,2.093327123688254
20,KNeighborsRegressor,-2:50,2.1072514420501878
21,PoissonRegressor,-2:50,2.1294360539478183
22,LarsCV,-2:50,2.141324810677643
23,GammaRegressor,-2:50,2.2607858743585285
24,TweedieRegressor,-2:50,2.2706045104078325
25,ElasticNet,-2:50,2.3147221842437844
26,LassoLars,-2:50,2.3681263099645355
27,DecisionTreeRegressor,-2:50,2.5656677180403067
28,ExtraTreeRegressor,-2:50,2.6350184749908845
29,AdaBoostRegressor,-2:50,2.705738680839111
30,DummyRegressor,-2:50,2.9966380864076663
31,PassiveAggressiveRegressor,-2:50,3.4888420946860723
32,Lars,-2:50,4.741333925664729
33,RANSACRegressor,-2:50,15.375041107305071
0,ExtraTreesRegressor,-2:55,1.7388532430036612
1,BaggingRegressor,-2:55,1.8418534240318722
2,XGBRegressor,-2:55,1.8637339387886067
3,LGBMRegressor,-2:55,1.9108468327759855
4,HistGradientBoostingRegressor,-2:55,1.9169420909199455
5,MLPRegressor,-2:55,2.007976838718069
6,GradientBoostingRegressor,-2:55,2.010545985709872
7,LassoLarsCV,-2:55,2.0680750964127728
8,LassoLarsIC,-2:55,2.06810854919517
9,LassoCV,-2:55,2.0685841162309213
10,BayesianRidge,-2:55,2.0686123008549298
11,RidgeCV,-2:55,2.068695139029684
12,Ridge,-2:55,2.068695139058187
13,TransformedTargetRegressor,-2:55,2.0687065433929805
14,ElasticNetCV,-2:55,2.0734201693243803
15,OrthogonalMatchingPursuit,-2:55,2.0795227443047986
16,OrthogonalMatchingPursuitCV,-2:55,2.0795227443047986
17,SGDRegressor,-2:55,2.0823827736979523
18,HuberRegressor,-2:55,2.0842786717767257
19,LinearSVR,-2:55,2.0937946614197798
20,KNeighborsRegressor,-2:55,2.1027098594435203
21,PoissonRegressor,-2:55,2.128988760232999
22,LarsCV,-2:55,2.141324810677643
23,GammaRegressor,-2:55,2.2604928695403923
24,TweedieRegressor,-2:55,2.270336580956671
25,ElasticNet,-2:55,2.314722184358641
26,LassoLars,-2:55,2.3681263099645355
27,DecisionTreeRegressor,-2:55,2.5698275508792996
28,ExtraTreeRegressor,-2:55,2.597534342852953
29,AdaBoostRegressor,-2:55,2.6774341256817107
30,DummyRegressor,-2:55,2.9966380864076663
31,PassiveAggressiveRegressor,-2:55,3.499297681100631
32,Lars,-2:55,4.595110222086067
33,RANSACRegressor,-2:55,18.820283855475978
0,ExtraTreesRegressor,-3:00,1.7396479495973978
1,BaggingRegressor,-3:00,1.843639753429494
2,XGBRegressor,-3:00,1.8640920249539084
3,HistGradientBoostingRegressor,-3:00,1.912482814719502
4,LGBMRegressor,-3:00,1.9126349491747459
5,GradientBoostingRegressor,-3:00,2.011843189925796
6,MLPRegressor,-3:00,2.0459952222205433
7,LassoLarsCV,-3:00,2.0678649971479786
8,LassoLarsIC,-3:00,2.0679080778398755
9,LassoCV,-3:00,2.068352588412756
10,BayesianRidge,-3:00,2.068426980762166
11,RidgeCV,-3:00,2.06851122418927
12,Ridge,-3:00,2.0685112242033004
13,TransformedTargetRegressor,-3:00,2.0685225856322167
14,ElasticNetCV,-3:00,2.07319040119559
15,OrthogonalMatchingPursuitCV,-3:00,2.0795227443047986
16,OrthogonalMatchingPursuit,-3:00,2.0795227443047986
17,SGDRegressor,-3:00,2.0822801178558272
18,HuberRegressor,-3:00,2.0841519416455214
19,LinearSVR,-3:00,2.1000001723204513
20,KNeighborsRegressor,-3:00,2.1112466528180565
21,PoissonRegressor,-3:00,2.1286711737000763
22,LarsCV,-3:00,2.141921978044632
23,GammaRegressor,-3:00,2.2602163667726125
24,TweedieRegressor,-3:00,2.2701404466188464
25,ElasticNet,-3:00,2.314722184430618
26,LassoLars,-3:00,2.3681263099645355
27,DecisionTreeRegressor,-3:00,2.5537170516876957
28,ExtraTreeRegressor,-3:00,2.6445717464875655
29,AdaBoostRegressor,-3:00,2.707878438485852
30,DummyRegressor,-3:00,2.9966380864076663
31,PassiveAggressiveRegressor,-3:00,3.570388789642575
32,Lars,-3:00,4.690713419508088
33,RANSACRegressor,-3:00,19.36471478199636
0,ExtraTreesRegressor,-3:05,1.7291970748178598
1,BaggingRegressor,-3:05,1.8410114744660864
2,XGBRegressor,-3:05,1.8583172239386372
3,HistGradientBoostingRegressor,-3:05,1.9118824738262057
4,LGBMRegressor,-3:05,1.9141961276507677
5,GradientBoostingRegressor,-3:05,2.0107122172791594
6,MLPRegressor,-3:05,2.0349933412868846
7,LassoLarsCV,-3:05,2.0676498628954634
8,LassoLarsIC,-3:05,2.067705622611392
9,LassoCV,-3:05,2.068107270247344
10,BayesianRidge,-3:05,2.068273058869073
11,Ridge,-3:05,2.0683636318561085
12,RidgeCV,-3:05,2.0683636318675367
13,TransformedTargetRegressor,-3:05,2.0683754976380717
14,ElasticNetCV,-3:05,2.072939836365491
15,OrthogonalMatchingPursuit,-3:05,2.079251662711056
16,OrthogonalMatchingPursuitCV,-3:05,2.0795227443047986
17,SGDRegressor,-3:05,2.0834669973060236
18,HuberRegressor,-3:05,2.083560967173706
19,LinearSVR,-3:05,2.09680055695557
20,KNeighborsRegressor,-3:05,2.1077036123998756
21,PoissonRegressor,-3:05,2.1283025496786117
22,LarsCV,-3:05,2.141921978044632
23,GammaRegressor,-3:05,2.260134829646019
24,TweedieRegressor,-3:05,2.269919240844777
25,ElasticNet,-3:05,2.3147221844584682
26,LassoLars,-3:05,2.3681263099645355
27,DecisionTreeRegressor,-3:05,2.5583539892207727
28,ExtraTreeRegressor,-3:05,2.5753645480307243
29,AdaBoostRegressor,-3:05,2.695277593258754
30,DummyRegressor,-3:05,2.9966380864076663
31,PassiveAggressiveRegressor,-3:05,3.5528743455517438
32,Lars,-3:05,5.011588976340505
33,RANSACRegressor,-3:05,13.895772985612151
0,ExtraTreesRegressor,-3:10,1.7314538168435596
1,BaggingRegressor,-3:10,1.8422573423343653
2,XGBRegressor,-3:10,1.8547837916117824
3,LGBMRegressor,-3:10,1.9129856436567625
4,HistGradientBoostingRegressor,-3:10,1.9142457478725448
5,GradientBoostingRegressor,-3:10,2.0105622768940234
6,MLPRegressor,-3:10,2.0275287645087285
7,LassoLarsCV,-3:10,2.067436758942002
8,LassoLarsIC,-3:10,2.0674714761685133
9,LassoCV,-3:10,2.0678910165711204
10,BayesianRidge,-3:10,2.068058347388651
11,RidgeCV,-3:10,2.0681509851499844
12,Ridge,-3:10,2.0681509851699125
13,TransformedTargetRegressor,-3:10,2.06816285201982
14,ElasticNetCV,-3:10,2.072715241505694
15,OrthogonalMatchingPursuit,-3:10,2.079251662711056
16,OrthogonalMatchingPursuitCV,-3:10,2.0795227443047986
17,SGDRegressor,-3:10,2.0833297497374983
18,HuberRegressor,-3:10,2.0848127080743524
19,LinearSVR,-3:10,2.0999740064845547
20,KNeighborsRegressor,-3:10,2.1103312650620194
21,PoissonRegressor,-3:10,2.1280558481303893
22,LarsCV,-3:10,2.141921978044632
23,GammaRegressor,-3:10,2.2600032295043437
24,TweedieRegressor,-3:10,2.2697267244461177
25,ElasticNet,-3:10,2.3147221844664205
26,LassoLars,-3:10,2.3681263099645355
27,DecisionTreeRegressor,-3:10,2.5515920025462506
28,ExtraTreeRegressor,-3:10,2.627363613984631
29,AdaBoostRegressor,-3:10,2.7427723278642135
30,DummyRegressor,-3:10,2.9966380864076663
31,PassiveAggressiveRegressor,-3:10,3.5187655529774795
32,Lars,-3:10,4.742679852101373
33,RANSACRegressor,-3:10,29.341471948268847
0,ExtraTreesRegressor,-3:15,1.7249219035133587
1,BaggingRegressor,-3:15,1.8319051960371473
2,XGBRegressor,-3:15,1.8531822408632423
3,HistGradientBoostingRegressor,-3:15,1.9097161190293868
4,LGBMRegressor,-3:15,1.9104905689414873
5,GradientBoostingRegressor,-3:15,2.0100789465921336
6,MLPRegressor,-3:15,2.0408548781800753
7,LassoLarsCV,-3:15,2.0674311713264184
8,LassoLarsIC,-3:15,2.0674891557716464
9,LassoCV,-3:15,2.0678475840535255
10,BayesianRidge,-3:15,2.0681039913838095
11,Ridge,-3:15,2.068200806999304
12,RidgeCV,-3:15,2.0682008070003497
13,TransformedTargetRegressor,-3:15,2.0682129048171753
14,ElasticNetCV,-3:15,2.072656459647435
15,OrthogonalMatchingPursuit,-3:15,2.0789434758053345
16,OrthogonalMatchingPursuitCV,-3:15,2.0795227443047986
17,SGDRegressor,-3:15,2.0835445558093606
18,HuberRegressor,-3:15,2.083832739284042
19,LinearSVR,-3:15,2.089710259942307
20,KNeighborsRegressor,-3:15,2.111910766047002
21,PoissonRegressor,-3:15,2.1279240017956043
22,LarsCV,-3:15,2.141921978044632
23,GammaRegressor,-3:15,2.2597913716828257
24,TweedieRegressor,-3:15,2.2695646889187535
25,ElasticNet,-3:15,2.3147221844664205
26,LassoLars,-3:15,2.3681263099645355
27,DecisionTreeRegressor,-3:15,2.5507750052104967
28,ExtraTreeRegressor,-3:15,2.5886070384172473
29,AdaBoostRegressor,-3:15,2.696921209933989
30,DummyRegressor,-3:15,2.9966380864076663
31,PassiveAggressiveRegressor,-3:15,3.53650746403658
32,Lars,-3:15,4.672615846810626
33,RANSACRegressor,-3:15,17.987509444277404
0,ExtraTreesRegressor,-3:20,1.7232869134952944
1,BaggingRegressor,-3:20,1.8316261230965452
2,XGBRegressor,-3:20,1.857285654475084
3,LGBMRegressor,-3:20,1.9122913003543673
4,HistGradientBoostingRegressor,-3:20,1.9144993163277333
5,GradientBoostingRegressor,-3:20,2.0100538274237443
6,MLPRegressor,-3:20,2.025163640018615
7,LassoLarsCV,-3:20,2.067220090920046
8,LassoLarsIC,-3:20,2.067273007249913
9,LassoCV,-3:20,2.0676218591616644
10,BayesianRidge,-3:20,2.067955027188248
11,RidgeCV,-3:20,2.068055310202404
12,Ridge,-3:20,2.068055310229755
13,TransformedTargetRegressor,-3:20,2.0680675413223892
14,ElasticNetCV,-3:20,2.0724182076577478
15,OrthogonalMatchingPursuit,-3:20,2.0789434758053345
16,OrthogonalMatchingPursuitCV,-3:20,2.0795227443047986
17,HuberRegressor,-3:20,2.0821691130553637
18,SGDRegressor,-3:20,2.084661046339283
19,LinearSVR,-3:20,2.093259361897084
20,KNeighborsRegressor,-3:20,2.1068083231631105
21,PoissonRegressor,-3:20,2.127695639074504
22,LarsCV,-3:20,2.141324810677643
23,GammaRegressor,-3:20,2.259563981866689
24,TweedieRegressor,-3:20,2.2693716065228458
25,ElasticNet,-3:20,2.3147221844664205
26,LassoLars,-3:20,2.3681263099645355
27,DecisionTreeRegressor,-3:20,2.5579652215248028
28,ExtraTreeRegressor,-3:20,2.641193679421712
29,AdaBoostRegressor,-3:20,2.7096064714287893
30,DummyRegressor,-3:20,2.9966380864076663
31,PassiveAggressiveRegressor,-3:20,3.5619938134466573
32,Lars,-3:20,7.135301733749777
33,RANSACRegressor,-3:20,15.047893812381934
0,ExtraTreesRegressor,-3:25,1.7200836532883432
1,BaggingRegressor,-3:25,1.8300929911186052
2,XGBRegressor,-3:25,1.8587574663469693
3,LGBMRegressor,-3:25,1.9112177134533623
4,HistGradientBoostingRegressor,-3:25,1.9123347292136397
5,GradientBoostingRegressor,-3:25,2.011089070985175
6,MLPRegressor,-3:25,2.039912591604504
7,LassoLarsCV,-3:25,2.067171065458305
8,LassoLarsIC,-3:25,2.067241453393963
9,LassoCV,-3:25,2.067551569525506
10,BayesianRidge,-3:25,2.0679079213400806
11,RidgeCV,-3:25,2.0680077398769408
12,Ridge,-3:25,2.068007739918065
13,TransformedTargetRegressor,-3:25,2.068019757326322
14,ElasticNetCV,-3:25,2.0723180383077975
15,OrthogonalMatchingPursuit,-3:25,2.0789434758053345
16,OrthogonalMatchingPursuitCV,-3:25,2.0795227443047986
17,HuberRegressor,-3:25,2.082733273704829
18,SGDRegressor,-3:25,2.0850734538413134
19,LinearSVR,-3:25,2.094383004927074
20,KNeighborsRegressor,-3:25,2.1048172158012544
21,PoissonRegressor,-3:25,2.127518476792771
22,LarsCV,-3:25,2.141921978044632
23,GammaRegressor,-3:25,2.2593344964206086
24,TweedieRegressor,-3:25,2.269138839098727
25,ElasticNet,-3:25,2.3147221844664205
26,LassoLars,-3:25,2.3681263099645355
27,DecisionTreeRegressor,-3:25,2.560514295850966
28,ExtraTreeRegressor,-3:25,2.574846843053286
29,AdaBoostRegressor,-3:25,2.694273935405875
30,DummyRegressor,-3:25,2.9966380864076663
31,PassiveAggressiveRegressor,-3:25,3.616561249913679
32,Lars,-3:25,5.128454408905999
33,RANSACRegressor,-3:25,12.837700328358345
0,ExtraTreesRegressor,-3:30,1.7142689787663694
1,BaggingRegressor,-3:30,1.8259167463215003
2,XGBRegressor,-3:30,1.861245782147495
3,LGBMRegressor,-3:30,1.9100088155870392
4,HistGradientBoostingRegressor,-3:30,1.910098123849958
5,GradientBoostingRegressor,-3:30,2.0098156919065726
6,MLPRegressor,-3:30,2.0531707910269796
7,LassoLarsCV,-3:30,2.0671278882843653
8,LassoLarsIC,-3:30,2.067204464173183
9,LassoCV,-3:30,2.067494922740816
10,BayesianRidge,-3:30,2.0678710888367857
11,Ridge,-3:30,2.067971764362088
12,RidgeCV,-3:30,2.0679717644402755
13,TransformedTargetRegressor,-3:30,2.067983714745236
14,ElasticNetCV,-3:30,2.072254955934693
15,OrthogonalMatchingPursuitCV,-3:30,2.0786389909744862
16,OrthogonalMatchingPursuit,-3:30,2.0786389909744862
17,HuberRegressor,-3:30,2.0833600257204035
18,SGDRegressor,-3:30,2.0852047399775526
19,LinearSVR,-3:30,2.0913910943819096
20,KNeighborsRegressor,-3:30,2.0979514961405017
21,PoissonRegressor,-3:30,2.12742848631007
22,LarsCV,-3:30,2.141921978044632
23,GammaRegressor,-3:30,2.2592203321956847
24,TweedieRegressor,-3:30,2.2689132361704942
25,ElasticNet,-3:30,2.3147221844664205
26,LassoLars,-3:30,2.3681263099645355
27,DecisionTreeRegressor,-3:30,2.554334246361247
28,ExtraTreeRegressor,-3:30,2.610465791231454
29,AdaBoostRegressor,-3:30,2.719431398179591
30,DummyRegressor,-3:30,2.9966380864076663
31,PassiveAggressiveRegressor,-3:30,3.6838936841876695
32,Lars,-3:30,4.720833224379275
33,RANSACRegressor,-3:30,18.26273982178342
0,ExtraTreesRegressor,-3:35,1.7138815907832614
1,BaggingRegressor,-3:35,1.8246421170409375
2,XGBRegressor,-3:35,1.8522592083172007
3,LGBMRegressor,-3:35,1.9102917616812234
4,HistGradientBoostingRegressor,-3:35,1.9125334347376668
5,GradientBoostingRegressor,-3:35,2.012614910819934
6,MLPRegressor,-3:35,2.044100812164494
7,LassoLarsCV,-3:35,2.067055116602961
8,LassoLarsIC,-3:35,2.0671460270221895
9,LassoCV,-3:35,2.067435145746713
10,BayesianRidge,-3:35,2.067826179904443
11,RidgeCV,-3:35,2.067937617266435
12,Ridge,-3:35,2.067937617308826
13,TransformedTargetRegressor,-3:35,2.0679503757408964
14,ElasticNetCV,-3:35,2.0721801048162627
15,OrthogonalMatchingPursuitCV,-3:35,2.0836899191153
16,OrthogonalMatchingPursuit,-3:35,2.0836899191153
17,HuberRegressor,-3:35,2.083735895188863
18,SGDRegressor,-3:35,2.0856629180207538
19,LinearSVR,-3:35,2.0952987736342603
20,KNeighborsRegressor,-3:35,2.098495255808965
21,PoissonRegressor,-3:35,2.127297321234807
22,LarsCV,-3:35,2.141921978044632
23,GammaRegressor,-3:35,2.258955158781565
24,TweedieRegressor,-3:35,2.2686394922797164
25,ElasticNet,-3:35,2.3147221844664205
26,LassoLars,-3:35,2.3681263099645355
27,ExtraTreeRegressor,-3:35,2.550849248244347
28,DecisionTreeRegressor,-3:35,2.5587614890457755
29,AdaBoostRegressor,-3:35,2.656684330316984
30,DummyRegressor,-3:35,2.9966380864076663
31,PassiveAggressiveRegressor,-3:35,3.701456383715906
32,Lars,-3:35,4.854194255633081
33,RANSACRegressor,-3:35,14.885785396715827
0,ExtraTreesRegressor,-3:40,1.709657483503701
1,BaggingRegressor,-3:40,1.8194162237563674
2,XGBRegressor,-3:40,1.8586509453472206
3,LGBMRegressor,-3:40,1.9097636574678307
4,HistGradientBoostingRegressor,-3:40,1.9123984187833991
5,GradientBoostingRegressor,-3:40,2.0107417889823482
6,MLPRegressor,-3:40,2.035505240818655
7,LassoLarsCV,-3:40,2.067127877747906
8,LassoLarsIC,-3:40,2.067222345773532
9,LassoCV,-3:40,2.067484491408374
10,BayesianRidge,-3:40,2.067949725696093
11,RidgeCV,-3:40,2.068059479858783
12,Ridge,-3:40,2.068059479859639
13,TransformedTargetRegressor,-3:40,2.068071912773915
14,ElasticNetCV,-3:40,2.0722212611949296
15,OrthogonalMatchingPursuitCV,-3:40,2.0836815959888293
16,OrthogonalMatchingPursuit,-3:40,2.0836815959888293
17,HuberRegressor,-3:40,2.0840678300762976
18,SGDRegressor,-3:40,2.084358840793517
19,LinearSVR,-3:40,2.0921724278087397
20,KNeighborsRegressor,-3:40,2.0947301575596056
21,PoissonRegressor,-3:40,2.127373055434247
22,LarsCV,-3:40,2.141921978044632
23,GammaRegressor,-3:40,2.2588266683204314
24,TweedieRegressor,-3:40,2.2684946081561765
25,ElasticNet,-3:40,2.3147221844664205
26,LassoLars,-3:40,2.3681263099645355
27,DecisionTreeRegressor,-3:40,2.5378022252908967
28,ExtraTreeRegressor,-3:40,2.601268106602552
29,AdaBoostRegressor,-3:40,2.7623341852566545
30,DummyRegressor,-3:40,2.9966380864076663
31,PassiveAggressiveRegressor,-3:40,3.7232938768866832
32,Lars,-3:40,4.759947891972981
33,RANSACRegressor,-3:40,11.7914973142938
0,ExtraTreesRegressor,-3:45,1.7107372036980684
1,BaggingRegressor,-3:45,1.8244027348108838
2,XGBRegressor,-3:45,1.8566447957446939
3,LGBMRegressor,-3:45,1.9092895397511813
4,HistGradientBoostingRegressor,-3:45,1.910929083152836
5,GradientBoostingRegressor,-3:45,2.010167216153515
6,LassoLarsCV,-3:45,2.0671315790556757
7,LassoLarsIC,-3:45,2.06723185452037
8,LassoCV,-3:45,2.06746679636346
9,BayesianRidge,-3:45,2.067981292329983
10,Ridge,-3:45,2.0680951203860287
11,RidgeCV,-3:45,2.06809512040947
12,TransformedTargetRegressor,-3:45,2.0681077829185384
13,ElasticNetCV,-3:45,2.072193982733991
14,OrthogonalMatchingPursuitCV,-3:45,2.083654296182673
15,OrthogonalMatchingPursuit,-3:45,2.083654296182673
16,HuberRegressor,-3:45,2.0840035155108505
17,SGDRegressor,-3:45,2.084831403662181
18,LinearSVR,-3:45,2.1011426687164327
19,KNeighborsRegressor,-3:45,2.103035426694321
20,MLPRegressor,-3:45,2.11424387415221
21,PoissonRegressor,-3:45,2.1274043415418746
22,LarsCV,-3:45,2.141921978044632
23,GammaRegressor,-3:45,2.2586305051969777
24,TweedieRegressor,-3:45,2.268302295579401
25,ElasticNet,-3:45,2.3147221844664205
26,LassoLars,-3:45,2.3681263099645355
27,DecisionTreeRegressor,-3:45,2.535363737832659
28,ExtraTreeRegressor,-3:45,2.6190017673830295
29,AdaBoostRegressor,-3:45,2.7309380264682
30,DummyRegressor,-3:45,2.9966380864076663
31,PassiveAggressiveRegressor,-3:45,3.6751991216585704
32,Lars,-3:45,6.69205838406065
33,RANSACRegressor,-3:45,12.80726956097513
0,ExtraTreesRegressor,-3:50,1.7046310906330655
1,BaggingRegressor,-3:50,1.8192189970572052
2,XGBRegressor,-3:50,1.8454673535758623
3,LGBMRegressor,-3:50,1.909459403536285
4,HistGradientBoostingRegressor,-3:50,1.9097321836229468
5,GradientBoostingRegressor,-3:50,2.008206457488199
6,MLPRegressor,-3:50,2.0279427409303312
7,LassoLarsCV,-3:50,2.0670024281269113
8,LassoLarsIC,-3:50,2.067075378177308
9,LassoCV,-3:50,2.0673406353949506
10,BayesianRidge,-3:50,2.067762215719976
11,RidgeCV,-3:50,2.0678699501358717
12,Ridge,-3:50,2.067869950171783
13,TransformedTargetRegressor,-3:50,2.0678820167749694
14,ElasticNetCV,-3:50,2.0720664023437294
15,OrthogonalMatchingPursuitCV,-3:50,2.0835396166093
16,OrthogonalMatchingPursuit,-3:50,2.0835396166093
17,HuberRegressor,-3:50,2.0837447446504362
18,SGDRegressor,-3:50,2.086777504058453
19,LinearSVR,-3:50,2.0956425496122195
20,KNeighborsRegressor,-3:50,2.10550186127695
21,PoissonRegressor,-3:50,2.1274377642912152
22,LarsCV,-3:50,2.141921978044632
23,GammaRegressor,-3:50,2.258492698451956
24,TweedieRegressor,-3:50,2.268112963671651
25,ElasticNet,-3:50,2.3147221844664205
26,LassoLars,-3:50,2.3681263099645355
27,DecisionTreeRegressor,-3:50,2.5293562564671754
28,ExtraTreeRegressor,-3:50,2.607924671222518
29,AdaBoostRegressor,-3:50,2.719948196586937
30,DummyRegressor,-3:50,2.9966380864076663
31,PassiveAggressiveRegressor,-3:50,3.598545668070557
32,Lars,-3:50,4.836151750043477
33,RANSACRegressor,-3:50,16.912515854734792
0,ExtraTreesRegressor,-3:55,1.7029781413587541
1,BaggingRegressor,-3:55,1.8175180290833062
2,XGBRegressor,-3:55,1.8526149764331354
3,LGBMRegressor,-3:55,1.907759378728396
4,HistGradientBoostingRegressor,-3:55,1.9115964044097822
5,GradientBoostingRegressor,-3:55,2.0082325575239484
6,MLPRegressor,-3:55,2.0399958549677297
7,LassoLarsCV,-3:55,2.066869641790091
8,LassoLarsIC,-3:55,2.0669776125688837
9,LassoCV,-3:55,2.067218857506875
10,BayesianRidge,-3:55,2.0677066926018197
11,Ridge,-3:55,2.067820406277102
12,RidgeCV,-3:55,2.067820406279317
13,TransformedTargetRegressor,-3:55,2.0678328145744604
14,ElasticNetCV,-3:55,2.071938431346515
15,OrthogonalMatchingPursuitCV,-3:55,2.083470351573886
16,OrthogonalMatchingPursuit,-3:55,2.083470351573886
17,HuberRegressor,-3:55,2.0847333925330958
18,SGDRegressor,-3:55,2.0867701333397153
19,LinearSVR,-3:55,2.1019224681802746
20,KNeighborsRegressor,-3:55,2.112050965906648
21,PoissonRegressor,-3:55,2.1273249770095273
22,LarsCV,-3:55,2.141921978044632
23,GammaRegressor,-3:55,2.258292009396727
24,TweedieRegressor,-3:55,2.2678814951286146
25,ElasticNet,-3:55,2.3147221844664205
26,LassoLars,-3:55,2.3681263099645355
27,DecisionTreeRegressor,-3:55,2.5214388362752262
28,ExtraTreeRegressor,-3:55,2.5851627255230913
29,AdaBoostRegressor,-3:55,2.7533258756773127
30,DummyRegressor,-3:55,2.9966380864076663
31,PassiveAggressiveRegressor,-3:55,3.569940006070831
32,Lars,-3:55,4.830516349827509
33,RANSACRegressor,-3:55,20.667255117927
0,ExtraTreesRegressor,-4:00,1.7027008493933922
1,BaggingRegressor,-4:00,1.8169988879228733
2,XGBRegressor,-4:00,1.8546217393101452
3,LGBMRegressor,-4:00,1.908477049651429
4,HistGradientBoostingRegressor,-4:00,1.9111343459678858
5,GradientBoostingRegressor,-4:00,2.0109925705366156
6,MLPRegressor,-4:00,2.0395115290713077
7,LassoLarsCV,-4:00,2.0667084112135297
8,LassoLarsIC,-4:00,2.0668216496124057
9,LassoCV,-4:00,2.0670933111928464
10,BayesianRidge,-4:00,2.0675239669718035
11,Ridge,-4:00,2.0676350264582664
12,RidgeCV,-4:00,2.0676350264624306
13,TransformedTargetRegressor,-4:00,2.067647137330979
14,ElasticNetCV,-4:00,2.071817540239005
15,OrthogonalMatchingPursuitCV,-4:00,2.0833551762303077
16,OrthogonalMatchingPursuit,-4:00,2.0833551762303077
17,HuberRegressor,-4:00,2.0837016495974883
18,SGDRegressor,-4:00,2.0868610549398445
19,LinearSVR,-4:00,2.095351215706994
20,KNeighborsRegressor,-4:00,2.1104673381164467
21,PoissonRegressor,-4:00,2.1273868199197707
22,LarsCV,-4:00,2.141921978044632
23,GammaRegressor,-4:00,2.2582559569544722
24,TweedieRegressor,-4:00,2.2677667823143444
25,ElasticNet,-4:00,2.3147221844664205
26,LassoLars,-4:00,2.3681263099645355
27,DecisionTreeRegressor,-4:00,2.52632952311093
28,AdaBoostRegressor,-4:00,2.5778807942153317
29,ExtraTreeRegressor,-4:00,2.606555904023686
30,DummyRegressor,-4:00,2.9966380864076663
31,PassiveAggressiveRegressor,-4:00,3.558603373001607
32,Lars,-4:00,5.156291864698502
33,RANSACRegressor,-4:00,23.267400767401664
0,ExtraTreesRegressor,-4:05,1.694160257425201
1,BaggingRegressor,-4:05,1.8172385888028433
2,XGBRegressor,-4:05,1.8490276373341028
3,HistGradientBoostingRegressor,-4:05,1.9061962326221606
4,LGBMRegressor,-4:05,1.910382722642187
5,GradientBoostingRegressor,-4:05,2.0096603030427516
6,MLPRegressor,-4:05,2.0572616591662563
7,LassoLarsCV,-4:05,2.066533406223386
8,LassoLarsIC,-4:05,2.0666348378214194
9,LassoCV,-4:05,2.066939343693807
10,BayesianRidge,-4:05,2.0673938767939704
11,RidgeCV,-4:05,2.067511632109171
12,Ridge,-4:05,2.0675116321195905
13,TransformedTargetRegressor,-4:05,2.0675241396546626
