,Model,delta,RMSE
28,DecisionTreeRegressor,-0:20,2.7154644458365755
29,ExtraTreeRegressor,-0:20,2.7596729854285713
30,AdaBoostRegressor,-0:20,2.8025954048511554
31,DummyRegressor,-0:20,2.9966380864076663
32,PassiveAggressiveRegressor,-0:20,3.0937256414421377
33,RANSACRegressor,-0:20,30.007938547150005
0,ExtraTreesRegressor,-0:25,1.9177453298505998
1,XGBRegressor,-0:25,1.9239960985241544
2,LGBMRegressor,-0:25,1.948176856533746
3,HistGradientBoostingRegressor,-0:25,1.9492258802985396
4,BaggingRegressor,-0:25,1.9705541353756082
5,MLPRegressor,-0:25,1.9810117927895547
6,GradientBoostingRegressor,-0:25,2.015962450710372
7,LassoLarsCV,-0:25,2.0729896697076606
8,LassoLarsIC,-0:25,2.07302135963208
9,BayesianRidge,-0:25,2.0730304782510536
10,Ridge,-0:25,2.073039320841968
11,RidgeCV,-0:25,2.0730499142698773
12,TransformedTargetRegressor,-0:25,2.0730511267174796
13,LassoCV,-0:25,2.0735530379439564
14,SGDRegressor,-0:25,2.076989356164913
15,ElasticNetCV,-0:25,2.078525322803123
16,HuberRegressor,-0:25,2.083842338173663
17,LinearSVR,-0:25,2.0932396162332867
18,LarsCV,-0:25,2.101044352176317
19,OrthogonalMatchingPursuitCV,-0:25,2.1061105156370457
20,OrthogonalMatchingPursuit,-0:25,2.1116723453199957
21,PoissonRegressor,-0:25,2.1360250259266986
22,KNeighborsRegressor,-0:25,2.140737695668279
23,GammaRegressor,-0:25,2.255114809204246
24,TweedieRegressor,-0:25,2.2652458909394486
25,ElasticNet,-0:25,2.3147238013629625
26,LassoLars,-0:25,2.3681263099645355
27,AdaBoostRegressor,-0:25,2.6725210349668527
28,DecisionTreeRegressor,-0:25,2.6896392153840885
29,ExtraTreeRegressor,-0:25,2.781713121639145
30,DummyRegressor,-0:25,2.9966380864076663
31,PassiveAggressiveRegressor,-0:25,4.85987558463574
32,Lars,-0:25,4.955716061241579
33,RANSACRegressor,-0:25,89.57958960403226
0,ExtraTreesRegressor,-0:30,1.9051434717138116
1,XGBRegressor,-0:30,1.9168718556949853
2,LGBMRegressor,-0:30,1.946870089898711
3,HistGradientBoostingRegressor,-0:30,1.948142264832928
4,BaggingRegressor,-0:30,1.958159900589227
5,MLPRegressor,-0:30,1.9858776018413606
6,GradientBoostingRegressor,-0:30,2.0142477491652193
7,BayesianRidge,-0:30,2.072384589863639
8,LassoLarsIC,-0:30,2.0723937971815114
9,LassoLarsCV,-0:30,2.072394603380019
10,Ridge,-0:30,2.0723957082849798
11,RidgeCV,-0:30,2.0723957084855753
12,TransformedTargetRegressor,-0:30,2.072406706535841
13,LassoCV,-0:30,2.072967346600107
14,SGDRegressor,-0:30,2.0731003619458304
15,ElasticNetCV,-0:30,2.07787153547713
16,HuberRegressor,-0:30,2.0836444471812317
17,LinearSVR,-0:30,2.0950974115891294
18,OrthogonalMatchingPursuitCV,-0:30,2.1126336236479983
19,LarsCV,-0:30,2.114315303791306
20,OrthogonalMatchingPursuit,-0:30,2.1178531922080364
21,PoissonRegressor,-0:30,2.1343644562250144
22,KNeighborsRegressor,-0:30,2.1434744537962445
23,GammaRegressor,-0:30,2.2580066432050123
24,TweedieRegressor,-0:30,2.268864547227605
25,ElasticNet,-0:30,2.314722690520459
26,LassoLars,-0:30,2.3681263099645355
27,DecisionTreeRegressor,-0:30,2.667502596530043
28,ExtraTreeRegressor,-0:30,2.7440020826262375
29,AdaBoostRegressor,-0:30,2.763300642211785
30,DummyRegressor,-0:30,2.9966380864076663
31,Lars,-0:30,3.1848319703342205
32,PassiveAggressiveRegressor,-0:30,5.449099606808804
33,RANSACRegressor,-0:30,40.24989853987497
0,ExtraTreesRegressor,-0:35,1.8927595021784682
1,XGBRegressor,-0:35,1.9144154016410122
2,LGBMRegressor,-0:35,1.9444611783264543
3,HistGradientBoostingRegressor,-0:35,1.9472051207147396
4,BaggingRegressor,-0:35,1.9505703109770076
5,MLPRegressor,-0:35,1.9844327515722757
6,GradientBoostingRegressor,-0:35,2.0156401455001327
7,LassoLarsCV,-0:35,2.0714022529446994
8,BayesianRidge,-0:35,2.071432150218234
9,LassoLarsIC,-0:35,2.0714350766063676
10,Ridge,-0:35,2.0714463715495213
11,RidgeCV,-0:35,2.0714463715999867
12,TransformedTargetRegressor,-0:35,2.0714573661475018
13,LassoCV,-0:35,2.0718100345944555
14,SGDRegressor,-0:35,2.0723640259686227
15,ElasticNetCV,-0:35,2.076687505740602
16,HuberRegressor,-0:35,2.0825145373745695
17,LinearSVR,-0:35,2.0932912946825537
18,OrthogonalMatchingPursuitCV,-0:35,2.1126336236479983
19,OrthogonalMatchingPursuit,-0:35,2.1154139509817553
20,LarsCV,-0:35,2.1254347489279706
21,PoissonRegressor,-0:35,2.1334530980263655
22,KNeighborsRegressor,-0:35,2.1439167421606564
23,GammaRegressor,-0:35,2.259974392674949
24,TweedieRegressor,-0:35,2.2711472031341455
25,ElasticNet,-0:35,2.3147222385466684
26,LassoLars,-0:35,2.3681263099645355
27,DecisionTreeRegressor,-0:35,2.674319766303953
28,AdaBoostRegressor,-0:35,2.7070789955924828
29,ExtraTreeRegressor,-0:35,2.739997079506107
30,Lars,-0:35,2.7734143549265817
31,DummyRegressor,-0:35,2.9966380864076663
32,PassiveAggressiveRegressor,-0:35,5.505625335484179
33,RANSACRegressor,-0:35,98.71567460779957
0,ExtraTreesRegressor,-0:40,1.8824020797752807
1,XGBRegressor,-0:40,1.9083820187474037
2,LGBMRegressor,-0:40,1.9428217405882753
3,HistGradientBoostingRegressor,-0:40,1.9440496343569158
4,BaggingRegressor,-0:40,1.946995862352856
5,MLPRegressor,-0:40,1.981787755151186
6,GradientBoostingRegressor,-0:40,2.0154952540340814
7,LassoLarsIC,-0:40,2.071510159788292
8,LassoLarsCV,-0:40,2.0715372635637546
9,BayesianRidge,-0:40,2.0715394249901187
10,Ridge,-0:40,2.0715547088084536
11,RidgeCV,-0:40,2.0715547088177977
12,TransformedTargetRegressor,-0:40,2.0715645029108316
13,LassoCV,-0:40,2.0719653787950483
14,SGDRegressor,-0:40,2.072861249916998
15,ElasticNetCV,-0:40,2.0768529507085125
16,HuberRegressor,-0:40,2.083127575179666
17,LinearSVR,-0:40,2.092278761599428
18,OrthogonalMatchingPursuitCV,-0:40,2.1126336236479983
19,OrthogonalMatchingPursuit,-0:40,2.1154139509817553
20,LarsCV,-0:40,2.1300616821933778
21,PoissonRegressor,-0:40,2.133558453166448
22,KNeighborsRegressor,-0:40,2.1399142006934797
23,GammaRegressor,-0:40,2.261083089016246
24,TweedieRegressor,-0:40,2.2724026492764713
25,ElasticNet,-0:40,2.3147220448236387
26,LassoLars,-0:40,2.3681263099645355
27,DecisionTreeRegressor,-0:40,2.6725530094980137
28,ExtraTreeRegressor,-0:40,2.751713100879544
29,AdaBoostRegressor,-0:40,2.776753342976962
30,DummyRegressor,-0:40,2.9966380864076663
31,PassiveAggressiveRegressor,-0:40,3.3497839534642746
32,Lars,-0:40,4.718421066788098
33,RANSACRegressor,-0:40,10.396144601727418
0,ExtraTreesRegressor,-0:45,1.8708156130994382
1,XGBRegressor,-0:45,1.9076650793490701
2,LGBMRegressor,-0:45,1.9401361388256155
3,HistGradientBoostingRegressor,-0:45,1.9430681457433299
4,BaggingRegressor,-0:45,1.944347147888729
5,MLPRegressor,-0:45,1.9871209305308606
6,GradientBoostingRegressor,-0:45,2.0137511658523035
7,LassoLarsCV,-0:45,2.0708443181351295
8,BayesianRidge,-0:45,2.0708723341514013
9,Ridge,-0:45,2.070891130832257
10,RidgeCV,-0:45,2.0708911309384193
11,TransformedTargetRegressor,-0:45,2.0709013793405355
12,LassoLarsIC,-0:45,2.0709071594175557
13,LassoCV,-0:45,2.0712735782188365
14,SGDRegressor,-0:45,2.072713096599641
15,ElasticNetCV,-0:45,2.0761130084147856
16,HuberRegressor,-0:45,2.082465676228098
17,LinearSVR,-0:45,2.093047832693122
18,OrthogonalMatchingPursuitCV,-0:45,2.1126336236479983
19,OrthogonalMatchingPursuit,-0:45,2.1129179261871216
20,PoissonRegressor,-0:45,2.132696640424709
21,LarsCV,-0:45,2.141921978044632
22,KNeighborsRegressor,-0:45,2.1437176903550643
23,GammaRegressor,-0:45,2.2612186869445106
24,TweedieRegressor,-0:45,2.272678506692428
25,ElasticNet,-0:45,2.314722040463374
26,LassoLars,-0:45,2.3681263099645355
27,DecisionTreeRegressor,-0:45,2.647811547615984
28,ExtraTreeRegressor,-0:45,2.750165992190748
29,AdaBoostRegressor,-0:45,2.7536339894900808
30,DummyRegressor,-0:45,2.9966380864076663
31,Lars,-0:45,4.385637359426414
32,PassiveAggressiveRegressor,-0:45,6.110056568937188
33,RANSACRegressor,-0:45,10.004239407709687
0,ExtraTreesRegressor,-0:50,1.862448886246637
1,XGBRegressor,-0:50,1.9006785285469499
2,BaggingRegressor,-0:50,1.9275887835047916
3,LGBMRegressor,-0:50,1.9370915084857265
4,HistGradientBoostingRegressor,-0:50,1.9400043034115066
5,MLPRegressor,-0:50,1.9763162437436255
6,GradientBoostingRegressor,-0:50,2.016473622509317
7,LassoLarsCV,-0:50,2.0708577388998233
8,LassoLarsIC,-0:50,2.0709103633622354
9,BayesianRidge,-0:50,2.0709170463977333
10,Ridge,-0:50,2.0709385386727552
11,RidgeCV,-0:50,2.0709385391021877
12,TransformedTargetRegressor,-0:50,2.0709487941187548
13,LassoCV,-0:50,2.071273015938756
14,SGDRegressor,-0:50,2.0733611982701605
15,ElasticNetCV,-0:50,2.0761070475260017
16,HuberRegressor,-0:50,2.082286027543974
17,LinearSVR,-0:50,2.0920910306460625
18,OrthogonalMatchingPursuitCV,-0:50,2.1126336236479983
19,OrthogonalMatchingPursuit,-0:50,2.1129179261871216
20,PoissonRegressor,-0:50,2.1327098916102165
21,KNeighborsRegressor,-0:50,2.13917730372884
22,LarsCV,-0:50,2.141921978044632
23,GammaRegressor,-0:50,2.2615396970714707
24,TweedieRegressor,-0:50,2.2729344429495564
25,ElasticNet,-0:50,2.314722086021549
26,LassoLars,-0:50,2.3681263099645355
27,DecisionTreeRegressor,-0:50,2.641550590654409
28,ExtraTreeRegressor,-0:50,2.7405732625252948
29,AdaBoostRegressor,-0:50,2.836152189622609
30,DummyRegressor,-0:50,2.9966380864076663
31,Lars,-0:50,4.392354715959842
32,PassiveAggressiveRegressor,-0:50,6.145022466646225
33,RANSACRegressor,-0:50,13.796083485090177
0,ExtraTreesRegressor,-0:55,1.8510521311016663
1,XGBRegressor,-0:55,1.8958448295707662
2,BaggingRegressor,-0:55,1.9220047840290995
3,LGBMRegressor,-0:55,1.9354993770012057
4,HistGradientBoostingRegressor,-0:55,1.9374737165172833
5,MLPRegressor,-0:55,1.997063634103553
6,GradientBoostingRegressor,-0:55,2.0154629514052944
7,LassoLarsIC,-0:55,2.0708580489439297
8,LassoLarsCV,-0:55,2.0708866515821667
9,BayesianRidge,-0:55,2.0709353290010166
10,RidgeCV,-0:55,2.0709591387711024
11,Ridge,-0:55,2.070959138818754
12,TransformedTargetRegressor,-0:55,2.0709692807142064
13,LassoCV,-0:55,2.0712956039015995
14,SGDRegressor,-0:55,2.0741729791438948
15,ElasticNetCV,-0:55,2.076132018237352
16,HuberRegressor,-0:55,2.0830301054645317
17,LinearSVR,-0:55,2.0945678317833187
18,OrthogonalMatchingPursuitCV,-0:55,2.1126336236479983
19,OrthogonalMatchingPursuit,-0:55,2.1129179261871216
20,KNeighborsRegressor,-0:55,2.13014992381382
21,PoissonRegressor,-0:55,2.132452844003103
22,LarsCV,-0:55,2.141921978044632
23,GammaRegressor,-0:55,2.261440598962243
24,TweedieRegressor,-0:55,2.2728234169050068
25,ElasticNet,-0:55,2.314722129049253
26,LassoLars,-0:55,2.3681263099645355
27,DecisionTreeRegressor,-0:55,2.6638232085601157
28,ExtraTreeRegressor,-0:55,2.7393934505037123
29,AdaBoostRegressor,-0:55,2.823981037739496
30,DummyRegressor,-0:55,2.9966380864076663
31,PassiveAggressiveRegressor,-0:55,3.051427393779023
32,Lars,-0:55,4.149213427503567
33,RANSACRegressor,-0:55,21.66589789015942
0,ExtraTreesRegressor,-1:00,1.8450237617523073
1,XGBRegressor,-1:00,1.896609635940104
2,BaggingRegressor,-1:00,1.9117785597908643
3,LGBMRegressor,-1:00,1.9346192584071134
4,HistGradientBoostingRegressor,-1:00,1.9361102503427536
5,MLPRegressor,-1:00,1.988615716017397
